Challenge,Department,Innovator,"City, Province or Territory",Province,Awarded amount (*Applicable taxes included),Award date
Scaling Down Precision Agriculture,Agriculture and Agri-food Canada (AAFC),Expert Systems,"Saskatoon, SK",Saskatchewan,"$1,000,000.00",2020-09-09
Plastics Challenge: Improved Compostability of Bioplastics,"Agriculture and Agri-Food Canada (AAFC), Natural Resources Canada (NRCan)",Titan Clean Energy Projects Corp.,"Crail, SK",Saskatchewan,"$1,000,000.00",2020-09-01
Plastics Challenge: Improved Compostability of Bioplastics,"Agriculture and Agri-Food Canada (AAFC), Natural Resources Canada (NRCan)",EcoEnviro Labs Inc.,"Beaverton, ON",Ontario,"$1,000,000.00",2020-09-01
Scaling Down Precision Agriculture,Agriculture and Agri-food Canada (AAFC),Troo Corporation,"Ottawa, ON",Ontario,"$1,000,000.00",2020-09-01
COVID-19 Challenge: An intelligent digital clearing house,National Research Council Canada (NRC),Optima Analytics Inc,"Kingston, ON",Ontario,"$999,712.00",2020-08-17
Composite Material Manufacturing Simulation Software,National Research Council Canada (NRC),Convergent Manufacturing Technologies Inc,"Vancouver, BC",British Columbia,"$1,207,400.80",2020-08-14
3D Printing and Additive Manufacturing: Metal Powder Bed Density Test Equipment,National Research Council Canada (NRC),Les Industries Sautech Inc.,"Boisbriand, QC",Quebec,"$546,609.52*",2020-08-07
Electroencephalography (EEG) and Vital signs integrated existing virtual and augmented reality (VR/AR) headsets,National Research Council Canada (NRC),Interaxon,"Toronto, ON",Ontario,"$1,000,000.00",2020-07-13
Electroencephalography (EEG) and Vital signs integrated existing virtual and augmented reality (VR/AR) headsets,National Research Council Canada (NRC),Myant Inc.,"Toronto, ON",Ontario,"$1,000,000.00",2020-07-13
Earth Observation Images Processing and Management System,Public Health Agency of Canada (PHAC),Hatfield Consultants Ltd.,"North Vancouver, BC",British Columbia,"$568,956.55*",2020-06-24
COVID-19 Challenge: Made in Canada filtration material for the manufacture of N95 respirators and surgical masks,National Research Council Canada (NRC),Stedfast inc,"Granby, QC",Quebec,"$164,955.00",2020-05-19
Plastics Challenge: Food Packaging,Environment and Climate Change Canada (ECCC),Axipolymer,"Montreal, QC",Quebec,"$1,000,000.00",2020-05-18
Plastics Challenge: Construction Waste,Environment and Climate Change Canada (ECCC),MgO Systems,"Calgary, AB",Alberta,"$1,000,000.00",2020-04-01
Plastics Challenge: Sustainable Fishing and Aquaculture Gear,Fisheries and Oceans Canada (DFO),Ocean Legacy Technologies Inc.,"Delta, BC",British Columbia,"$360,000.00",2020-03-30
Plastics Challenge: Sustainable Fishing and Aquaculture Gear,Fisheries and Oceans Canada (DFO),Goodwood Plastics Products Ltd.,"Dartmouth, NS",Nova Scotia,"$475,000.00",2020-03-30
Plastics Challenge: Sustainable Fishing and Aquaculture Gear,Fisheries and Oceans Canada (DFO),Plantee Bioplastics Inc.,"Vancouver, BC",British Columbia,"$475,000.00",2020-03-30
Enhancing Pedestrian and Cyclist Road Safety,Transport Canada (TC),Labforge Inc,"Waterloo, ON",Ontario,"$500,000.00",2020-03-30
Plastics Challenge: Sustainable Fishing and Aquaculture Gear,Fisheries and Oceans Canada (DFO),Ashored Inc.,"Debert, NS",Nova Scotia,"$702,000.00",2020-03-30
Plastics Challenge: Recycling of Glass Fiber-Reinforced Plastic,Transport Canada (TC),Jeosal Materials Research Corp,"Kingston, ON",Ontario,"$765,500.00",2020-03-30
Plastics Challenge: Recycling of Glass Fiber-Reinforced Plastic,Transport Canada (TC),KWI Industries Inc,"Boisbriand, QC",Quebec,"$1,000,000.00",2020-03-30
Plastics Challenge: Improved Compostability of Bioplastics,National Research Council Canada (NRC),Bosk Bioproducts Inc.,"Québec, QC",Quebec,"$1,000,000.00",2020-03-27
Plastics Challenge: Construction Waste,Environment and Climate Change Canada (ECCC),GreenMantra Technologies,"Brantford, ON",Ontario,"$1,000,000.00",2020-03-18
Engineered Surfaces,"Innovation, Science and Economic Development Canada (ISED)",e2ip technologies (GGI Solutions),"Lachine, QC",Quebec,"$1,000,000.00",2020-02-10
Connected Vehicle and Engineered Surfaces,"Innovation, Science and Economic Development Canada (ISED)",CEM Works Inc.,"Winnipeg, MB",Manitoba,"$995,000.00",2019-03-29
